Detected Circle Parameters
Center_X, Center_Y, Radius
111, 387, 20
133, 134, 20
142, 107, 20
151, 169, 20
154, 141, 20
157, 155, 20
158, 126, 20
159, 146, 20
160, 160, 20
166, 140, 20
167, 129, 20
167, 185, 20
168, 129, 20
169, 127, 20
185, 105, 20
285, 375, 20
285, 376, 20
286, 376, 20
292, 394, 20
295, 363, 20
295, 364, 20
338, 250, 20
484, 339, 20
484, 340, 20
516, 199, 20
525, 198, 20
525, 199, 20
526, 200, 20
527, 200, 20
527, 201, 20
528, 201, 20
109, 382, 25
110, 386, 25
129, 286, 25
131, 286, 25
153, 104, 25
156, 150, 25
158, 125, 25
160, 152, 25
165, 124, 25
166, 145, 25
199, 182, 25
486, 340, 25
516, 200, 25
521, 196, 25
526, 210, 25
531, 191, 25
105, 384, 30
110, 384, 30
111, 380, 30
158, 112, 30
529, 196, 30
173, 110, 35
277, 375, 35
400, 109, 35
403, 109, 35
491, 341, 35
527, 201, 35
277, 373, 40
282, 372, 40
395, 110, 40
405, 107, 40
486, 340, 40
524, 199, 40
400, 108, 45
400, 111, 45
482, 337, 45
333, 247, 50
333, 248, 50
482, 341, 55
483, 339, 55
190, 138, 60
332, 244, 60
337, 248, 60
343, 245, 60
179, 146, 65
182, 142, 65
183, 139, 65
186, 139, 65
187, 142, 65
189, 147, 65
179, 141, 70
180, 149, 70
183, 144, 75
178, 142, 80
183, 140, 85
